,pval,lpval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
41411|ERCC3,6.26340290743599E-09,-8.20318965043376,Homo sapiens,ERCC3,predicted chromatin regulator,HT1080,None,Connective Tissue,1,ERCC3
41492|BMI1,7.17427961482997E-09,-8.1442217008673,Homo sapiens,BMI1,cr,DU145,Epithelium,Prostate,1,BMI1
72089|AFF1,1.06071866845525E-08,-7.97439978757733,Homo sapiens,AFF1,tf,None,Leukemic cells,Bone Marrow,1,AFF1
5822|DUX4,1.90861066395875E-08,-7.71928265397357,Homo sapiens,DUX4,other,None,Myoblast,Muscle,1,DUX4
41412|ERCC2,6.67778111140827E-08,-7.17536782063138,Homo sapiens,ERCC2,tf,HT1080,None,Connective Tissue,1,ERCC2
48692|H3F3B,1.94104381068261E-07,-6.71196466217837,Homo sapiens,H3F3B,other,None,Spermatid,None,1,H3F3B
67748|GATA2,2.79958344395759E-07,-6.55290658346092,Homo sapiens,GATA2,tf,LNCaP,Epithelium,Prostate,1,GATA2
67858|TET2,5.17731187088533E-07,-6.28589567320145,Homo sapiens,TET2,cr,HEK293T,Epithelium,Embryonic Kidney,1,TET2
76995|GLI2,5.72585678759729E-07,-6.2421595185453,Homo sapiens,GLI2,tf,THP-1,None,None,1,GLI2
41489|RING1,9.75964839722288E-07,-6.01056582801942,Homo sapiens,RING1,cr,DU145,Epithelium,Prostate,1,RING1
50047|AR,1.06093458929202E-06,-5.97431139120255,Homo sapiens,AR,tf,LNCaP,Epithelium,Prostate,0,AR
76967|MBOAT4,1.09117822061355E-06,-5.96210431090767,Homo sapiens,MBOAT4,other,HeLa,Epithelium,Cervix,1,MBOAT4
44026|AGO1,1.17076166517016E-06,-5.93153150632505,Homo sapiens,AGO1,other,PC-3,Epithelium,Prostate,1,AGO1
63809|HLF,2.49936685448038E-06,-5.60216999390024,Homo sapiens,HLF,,HepG2,Epithelium,Liver,1,HLF
54612|TEAD1,5.17516502318571E-06,-5.28607579707563,Homo sapiens,TEAD1,tf,SF268,None,None,1,TEAD1
74361|OTX2,6.17246131229265E-06,-5.20954162345524,Homo sapiens,OTX2,tf,D283 Med,None,None,1,OTX2
50899|LHX2,6.24500792051341E-06,-5.2044670064759,Homo sapiens,LHX2,tf,6540 cells,Epithelium,None,1,LHX2
56901|PBX3,1.12462603675256E-05,-4.948991866152,Homo sapiens,PBX3,tf,SMMC-7721,None,Liver,1,PBX3
51542|POU5F1,1.16776583619083E-05,-4.93264423448877,Homo sapiens,POU5F1,tf,HUES64,Embryonic Stem Cell,Embryo,1,POU5F1
72552|TRIM28,1.29803680647411E-05,-4.88671299272673,Homo sapiens,TRIM28,cr,None,Neural Progenitor Cell,None,1,TRIM28
68872|ESR1,1.4481360321561E-05,-4.83919064032127,Homo sapiens,ESR1,tf,MCF-7,Embryonic Stem Cell,Breast,1,ESR1
77331|SP140,2.21302973036908E-05,-4.65501275161793,Homo sapiens,SP140,tf,None,Macrophage,None,1,SP140
36712|CDX2,2.75661824328255E-05,-4.55962337401593,Homo sapiens,CDX2,tf,COLO-320,Epithelium,Colon,1,CDX2
33150|GATA3,4.31740997998698E-05,-4.36477670890874,Homo sapiens,GATA3,tf,MCF-7,Epithelium,Breast,1,GATA3
34962|KMT2A,4.62291685512928E-05,-4.33508391743868,Homo sapiens,KMT2A,not sure,RS4,B Lymphocyte,None,1,KMT2A
76859|IRAK1,5.21712635088156E-05,-4.28256864519709,Homo sapiens,IRAK1,other,HEK293,Epithelium,Embryonic Kidney,1,IRAK1
49604|ZNF486,5.36053537393832E-05,-4.270791833752,Homo sapiens,ZNF486,not sure,None,Embryonic Stem Cell,Embryo,1,ZNF486
32784|ATF3,5.82382406731918E-05,-4.23479175315699,Homo sapiens,ATF3,predicted transcription factor,None,Glioblastoma Multiforme Stem Like,None,1,ATF3
69558|PSIP1,7.9527599891327E-05,-4.09948212416967,Homo sapiens,PSIP1,predicted transcription factor,MV4-11,Leukemia Cell,None,1,PSIP1
44874|5HMC,7.99465627014384E-05,-4.0972002039864,Homo sapiens,5HMC,other,None,Erythroid Cell,None,1,5HMC
51478|GATA6,0.000137767750354734,-3.86085243324224,Homo sapiens,GATA6,tf,HUES64,Embryonic Stem Cell,Embryo,1,GATA6
75850|BRD4,0.000138919107165347,-3.85723801656779,Homo sapiens,BRD4,cr,Rh4,rhabdomyosarcoma,None,1,BRD4
70228|DNMT3A,0.000142892136290818,-3.84499167085547,Homo sapiens,DNMT3A,cr,None,Stem cell,Foreskin,1,DNMT3A
54609|YAP1,0.000155610237297821,-3.80796183500891,Homo sapiens,YAP1,other,SF268,None,None,1,YAP1
77155|ZNF248,0.000156686404581774,-3.80496868490515,Homo sapiens,ZNF248,tf,293T,None,None,1,ZNF248
73925|ZNF84,0.000219652113087165,-3.65826461439874,Homo sapiens,ZNF84,predicted transcription factor,293T,None,None,1,ZNF84
51465|GATA4,0.000360968125396099,-3.44253114594963,Homo sapiens,GATA4,tf,HUES64,Embryonic Stem Cell,Embryo,1,GATA4
36349|PTPN11,0.000433834694420376,-3.36267571974272,Homo sapiens,PTPN11,other,A549,Epithelium,Lung,1,PTPN11
45815|MAFK,0.000476233814215132,-3.32217977145597,Homo sapiens,MAFK,tf,HepG2,Epithelium,Liver,1,MAFK
44768|TP53,0.000480431217703692,-3.31836878054481,Homo sapiens,TP53,predicted transcription factor,None,Keratinocyte,Foreskin,1,TP53
59168|MLLT1,0.00101844502857629,-2.99206240743974,Homo sapiens,MLLT1,not sure,SEM,Pre-B Lymphocyte,None,1,MLLT1
54140|ATF4,0.00107138544529795,-2.97005425778556,Homo sapiens,ATF4,tf,None,Mesenchymal Stem Cell,None,1,ATF4
40379|CTCF,0.00112808709062517,-2.94765737063823,Homo sapiens,CTCF,tf,BCBL1,B cell lymphoma,None,1,CTCF
68878|NR3C1,0.00136985064401235,-2.8633267817613,Homo sapiens,NR3C1,tf,MCF-7,Embryonic Stem Cell,Breast,1,NR3C1
55300|JUN,0.0013919886986542,-2.85636429068238,Homo sapiens,JUN,tf,MDA-MB-231,Epithelium,Breast,1,JUN
4551|SPI1,0.00145638863554109,-2.83672271860176,Homo sapiens,SPI1,predicted transcription factor,None,Haematopoietic Progenitor Cell,Cord blood,1,SPI1
36252|NKX3-1,0.00180816784199844,-2.74276125888801,Homo sapiens,NKX3-1,tf,LNCaP,Epithelium,Prostate,1,NKX3-1
77175|ZNF133,0.00188476110425978,-2.72474368931853,Homo sapiens,ZNF133,tf,293T,None,None,1,ZNF133
1740|FOS,0.00195722676188509,-2.70835885460249,Homo sapiens,FOS,tf,None,Endothelial Cell,Umbilical Vein,1,FOS
74382|RELA,0.00217040638590482,-2.66345894143631,Homo sapiens,RELA,tf,MCF-7,None,Breast,1,RELA
65079|ZNF317,0.00282825582264057,-2.54848131010277,Homo sapiens,ZNF317,,HEK293,Epithelium,Embryonic Kidney,1,ZNF317
50409|PPARG,0.00286786817450674,-2.54244081548683,Homo sapiens,PPARG,tf,hMADS-3,Adipocyte,Adipose,1,PPARG
1010|FOXH1,0.0029028865256584,-2.53716994048372,Homo sapiens,FOXH1,tf,H9,Embryonic Stem Cell,Embryo,1,FOXH1
65075|ZNF382,0.0032514084410194,-2.48792847112553,Homo sapiens,ZNF382,,HEK293,Epithelium,Embryonic Kidney,1,ZNF382
71204|PIAS1,0.00327692348229969,-2.48453369947908,Homo sapiens,PIAS1,other,LNCaP,Epithelium,Prostate,1,PIAS1
57659|BAHD1,0.0033579234724016,-2.473929205724,Homo sapiens,BAHD1,both predicted transcription factor and chromatin regulator,HEK293,Epithelium,Embryonic Kidney,1,BAHD1
71873|SMC1A,0.00353960058081682,-2.45104574230586,Homo sapiens,SMC1A,predicted chromatin regulator,HepG2,hepatocellular carcinoma,None,1,SMC1A
76854|CDCA2,0.00365888365521533,-2.43665139994256,Homo sapiens,CDCA2,other,HeLa,Epithelium,Cervix,1,CDCA2
71756|NANOG,0.00388406469207625,-2.41071354519612,Homo sapiens,NANOG,tf,LNCaP,Epithelium,Prostate,1,NANOG
69557|ASH1L,0.00452932731748712,-2.34396629335061,Homo sapiens,ASH1L,cr,MV4-11,Leukemia Cell,None,1,ASH1L
45801|MAFF,0.00459446349016868,-2.33776519523825,Homo sapiens,MAFF,tf,HepG2,Epithelium,Liver,1,MAFF
37625|MYH11,0.00487576202786205,-2.31195749922027,Homo sapiens,MYH11,not sure,U937,None,Pleura,1,MYH11
70162|TEAD4,0.00515043186929054,-2.28815635336928,Homo sapiens,TEAD4,tf,BE2-C,Neuroblastoma cell,Bone Marrow,1,TEAD4
77264|DPF1,0.00672810096369353,-2.17210750002138,Homo sapiens,DPF1,other,K562,Erythroblast,Bone Marrow,1,DPF1
9230|CBX3,0.00678505767717136,-2.16844645621783,Homo sapiens,CBX3,cr,HCT-116,None,Colon,1,CBX3
44433|TAL1,0.00723327533285423,-2.14066500327514,Homo sapiens,TAL1,tf,None,None,Cord blood,1,TAL1
64604|FEZF1,0.0075317623616335,-2.12310339107961,Homo sapiens,FEZF1,,HEK293,Epithelium,Embryonic Kidney,1,FEZF1
64140|HHEX,0.00810183368017126,-2.09141667654681,Homo sapiens,HHEX,tf,HepG2,Epithelium,Liver,1,HHEX
56463|EHMT2,0.00826367977148357,-2.08282652064771,Homo sapiens,EHMT2,cr,HEK293T,Epithelium,Embryonic Kidney,1,EHMT2
63592|TCF7,0.00907703483374583,-2.04205599791644,Homo sapiens,TCF7,tf,HepG2,Epithelium,Liver,1,TCF7
33916|GRHL3,0.00921794100732931,-2.03536607558591,Homo sapiens,GRHL3,predicted transcription factor,NHEK,Keratinocyte,Skin,1,GRHL3
49257|SCML2,0.00934338610551017,-2.02949570402319,Homo sapiens,SCML2,tf,293T-Rex,None,None,0,SCML2
5888|LIN9,0.00993040398649958,-2.00303308327313,Homo sapiens,LIN9,not sure,HeLa,Epithelium,Cervix,1,LIN9
52205|IL1RN,0.0104852711472733,-1.97942033427427,Homo sapiens,IL1RN,other,HEK293T,Epithelium,Embryonic Kidney,0,IL1RN
397|IGF1R,0.0106165711733886,-1.97401572439588,Homo sapiens,IGF1R,not sure,DFB,Melanocyte,Skin,0,IGF1R
74651|BATF3,0.0115840128209537,-1.93614097047821,Homo sapiens,BATF3,tf,GM12878,B Lymphocyte,Blood,1,BATF3
38488|RBL2,0.012685454787836,-1.89669395821702,Homo sapiens,RBL2,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,1,RBL2
67613|HNF1B,0.0129229255454397,-1.8886391578259,Homo sapiens,HNF1B,tf,CFPAC-1,None,Pancreatic ductal,0,HNF1B
63285|OSR2,0.0129622418752264,-1.88731987887916,Homo sapiens,OSR2,,HEK293,Epithelium,Embryonic Kidney,1,OSR2
69249|SIX2,0.0133526868904423,-1.87443133472787,Homo sapiens,SIX2,tf,None,Cortex,Kidney,1,SIX2
46151|BCL11A,0.013581912168159,-1.86703908236635,Homo sapiens,BCL11A,predicted transcription factor,GM12878,B Lymphocyte,Blood,1,BCL11A
58319|MED1,0.0137028115701332,-1.8631903142949,Homo sapiens,MED1,predicted transcription factor,LNCaP-abl,Epithelium,Prostate,1,MED1
65081|ZIM3,0.0152812109910213,-1.81584222783634,Homo sapiens,ZIM3,,HEK293,Epithelium,Embryonic Kidney,1,ZIM3
45655|JUND,0.0168814996205143,-1.77258897666852,Homo sapiens,JUND,tf,GM12878,B Lymphocyte,Blood,1,JUND
62646|HES2,0.0175385378290485,-1.75600661617211,Homo sapiens,HES2,tf,A549,Epithelium,Lung,1,HES2
41167|CEBPA,0.0181584945868147,-1.74092015910456,Homo sapiens,CEBPA,tf,SGBS,Adipocyte,Adipose,1,CEBPA
43893|HOXC9,0.0186493480857144,-1.72933634496657,Homo sapiens,HOXC9,tf,BE2-C,Neuroblast,Brain,1,HOXC9
47735|LANA,0.0188112639512115,-1.72558202270616,Homo sapiens,LANA,other,BCBL1,B cell lymphoma,None,0,LANA
54626|NCAPG,0.0193135222870978,-1.71413851491289,Homo sapiens,NCAPG,predicted chromatin regulator,MCF-7,Epithelium,Breast,0,NCAPG
33481|IRF5,0.020041074587885,-1.69807899562531,Homo sapiens,IRF5,tf,None,Monocyte,Blood,0,IRF5
65133|PRDM1,0.0231318371218585,-1.63578987435423,Homo sapiens,PRDM1,tf,HEK293,Epithelium,Embryonic Kidney,1,PRDM1
72220|TP63,0.028823210511885,-1.5402576463555,Homo sapiens,TP63,predicted transcription factor,JHU-029,None,None,1,TP63
35471|NKX2-1,0.0290960689758624,-1.53616568240286,Homo sapiens,NKX2-1,tf,NCI-H1819,None,Lung,1,NKX2-1
77519|H3K18me1,0.0291659611806669,-1.53512370657903,Homo sapiens,H3K18me1,,U2OS,None,Bone,1,H3K18me1
33035|AHR,0.0301335540038251,-1.52094964385848,Homo sapiens,AHR,tf,MCF-7,Epithelium,Breast,1,AHR
63919|FOSL2,0.0331018078163167,-1.48014828709404,Homo sapiens,FOSL2,tf,A549,Epithelium,Lung,1,FOSL2
76567|ZNF618,0.0352542623389591,-1.45278836808015,Homo sapiens,ZNF618,tf,293T,None,None,1,ZNF618
64957|ATF2,0.0463787392040742,-1.33368106173848,Homo sapiens,ATF2,predicted transcription factor,GM12878,B Lymphocyte,Blood,1,ATF2
65086|ZSCAN16,0.0464633690533276,-1.33288930275315,Homo sapiens,ZSCAN16,,HEK293,Epithelium,Embryonic Kidney,1,ZSCAN16
64780|JUNB,0.0534738726558577,-1.27185836252083,Homo sapiens,JUNB,tf,GM12878,B Lymphocyte,Blood,1,JUNB
49732|ASCL1,0.0567159696444625,-1.24629463860356,Homo sapiens,ASCL1,tf,NCI-H526,Epithelium,Lung,0,ASCL1
76140|H2AFX,0.057194962514904,-1.2426422203035,Homo sapiens,H2AFX,predicted chromatin regulator,HeLa,Epithelium,Cervix,1,H2AFX
34366|SUMO1,0.0573821768849345,-1.24122298011962,Homo sapiens,SUMO1,other,HeLa,Epithelium,Cervix,0,SUMO1
38708|HOXA2,0.0599270925714313,-1.22237679206513,Homo sapiens,HOXA2,tf,LoVo,None,Colon,0,HOXA2
38795|TCF7L2,0.0676667237641764,-1.1696248503465,Homo sapiens,TCF7L2,tf,LoVo,None,Colon,0,TCF7L2
54664|TCF4,0.0696599276628452,-1.15701698086319,Homo sapiens,TCF4,tf,HCT-116,None,Colon,1,TCF4
43364|EBNA3C,0.0700138267915237,-1.15481618418176,Homo sapiens,EBNA3C,other,None,B Lymphocyte,None,1,EBNA3C
77081|ZNF585A,0.0772975875943314,-1.11183405990857,Homo sapiens,ZNF585A,tf,293T,None,None,1,ZNF585A
36814|TLE3,0.0784048257946552,-1.10565720579146,Homo sapiens,TLE3,not sure,MCF-7,Epithelium,Breast,1,TLE3
54106|DNMT1,0.087737568194688,-1.05681440702093,Homo sapiens,DNMT1,cr,PC-3,Epithelium,Prostate,1,DNMT1
54243|FOXO1,0.0940137257769629,-1.02680873582556,Homo sapiens,FOXO1,tf,None,Stromal Cell,Endometrium,1,FOXO1
38174|EBNA3,0.10606134996977,-0.974442849396499,Homo sapiens,EBNA3,other,Mutu III,B Lymphocyte,None,1,EBNA3
62691|CEBPG,0.107771954106476,-0.967494242502772,Homo sapiens,CEBPG,tf,MCF-7,Epithelium,Breast,1,CEBPG
64575|MAFG,0.122363007223744,-0.912349858226838,Homo sapiens,MAFG,tf,K562,Erythroblast,Bone Marrow,1,MAFG
38854|DLX2,0.125059968703704,-0.902881684337666,Homo sapiens,DLX2,tf,LoVo,None,Colon,1,DLX2
77262|HMG20A,0.126070973230666,-0.89938489452818,Homo sapiens,HMG20A,tf,GM12878,B Lymphocyte,Blood,1,HMG20A
70103|HIST1H1B,0.149240448875549,-0.826113453387034,Homo sapiens,HIST1H1B,predicted chromatin regulator,HeLa,Epithelium,Cervix,0,HIST1H1B
77069|ZNF627,0.171627949081611,-0.76541198721263,Homo sapiens,ZNF627,tf,293T,None,None,1,ZNF627
63878|NFE2,0.173118980844024,-0.761655313268992,Homo sapiens,NFE2,tf,K562,Erythroblast,Bone Marrow,1,NFE2
55730|GATA1,0.182389646300934,-0.738999818869428,Homo sapiens,GATA1,tf,K562,Erythroblast,Bone Marrow,1,GATA1
6544|TP73,0.199782411981166,-0.699442747920563,Homo sapiens,TP73,predicted transcription factor,Saos-2,Osteosarcoma cell,Bone,1,TP73
44427|SMARCC1,0.212951169818898,-0.671719969844767,Homo sapiens,SMARCC1,cr,MCF-7,Epithelium,Breast,0,SMARCC1
43086|7SK,0.243994006581808,-0.612620841449865,Homo sapiens,7SK,other,HEK293T,Epithelium,Embryonic Kidney,0,7SK
65182|ZNF708,0.255360887227037,-0.592845621412005,Homo sapiens,ZNF708,,HEK293,Epithelium,Embryonic Kidney,1,ZNF708
52497|TCF21,0.273435083885469,-0.563145762773595,Homo sapiens,TCF21,tf,None,None,Coronary artery smooth muscle,1,TCF21
64241|ZNF146,0.283154234945897,-0.547976938540788,Homo sapiens,ZNF146,,HEK293,Epithelium,Embryonic Kidney,1,ZNF146
43676|CDK2,0.302633687297268,-0.519082730665074,Homo sapiens,CDK2,not sure,T47D-MTVL,Epithelium,Mammary Gland,0,CDK2
76419|MAML3,0.327607060133952,-0.484646747497158,Homo sapiens,MAML3,tf,SK-N-SH,Neuroblastoma cell,Brain,1,MAML3
38713|HNF4A,0.334087396218011,-0.476139908247588,Homo sapiens,HNF4A,tf,LoVo,None,Colon,1,HNF4A
41188|EED,0.341888897501647,-0.466115002251256,Homo sapiens,EED,cr,DU145,Epithelium,Prostate,1,EED
52574|CHRM2,0.349634995275582,-0.456385104943672,Homo sapiens,CHRM2,predicted chromatin regulator,None,Stromal Cell,Endometrium,1,CHRM2
38678|HOXA13,0.350463874529335,-0.455356742037255,Homo sapiens,HOXA13,tf,LoVo,None,Colon,1,HOXA13
65211|ZFP28,0.354478233520975,-0.450410427200108,Homo sapiens,ZFP28,,HEK293,Epithelium,Embryonic Kidney,1,ZFP28
47710|SOX11,0.363886271607509,-0.439034328798405,Homo sapiens,SOX11,tf,GRANTA-519,B Lymphocyte,None,0,SOX11
51448|EOMES,0.377386757768945,-0.423213342986069,Homo sapiens,EOMES,tf,HUES64,Embryonic Stem Cell,Embryo,1,EOMES
77185|ZKSCAN2,0.378704241908975,-0.4216998302704,Homo sapiens,ZKSCAN2,tf,293T,None,None,1,ZKSCAN2
72702|HOXA9,0.378950255956074,-0.421417795260558,Homo sapiens,HOXA9,tf,HEK293FT,None,Kidney,1,HOXA9
73963|ZNF266,0.379525870347276,-0.420758615114667,Homo sapiens,ZNF266,predicted transcription factor,293T,None,None,1,ZNF266
74657|ARID3A,0.384364001131651,-0.415257294369746,Homo sapiens,ARID3A,tf,HepG2,Epithelium,Liver,1,ARID3A
51750|FOXP1,0.384931998575294,-0.414615985431631,Homo sapiens,FOXP1,tf,LNCaP,Epithelium,Prostate,1,FOXP1
37605|FAIRE,0.390789486313729,-0.408057128928068,Homo sapiens,FAIRE,other,None,Epithelium,Mammary Gland,1,FAIRE
77165|ZNF182,0.409911518431393,-0.387309877924264,Homo sapiens,ZNF182,tf,293T,None,None,1,ZNF182
51251|KDM1B,0.421104681299085,-0.375609930626612,Homo sapiens,KDM1B,cr,HepG2,Epithelium,Liver,0,KDM1B
56126|APOBEC3B,0.477014573394855,-0.321468352514844,Homo sapiens,APOBEC3B,other,MCF-7,Epithelium,Breast,1,APOBEC3B
64442|ZSCAN20,0.483387197292922,-0.315704856242535,Homo sapiens,ZSCAN20,,HEK293,Epithelium,Embryonic Kidney,1,ZSCAN20
48802|KDM1A,0.509961507740379,-0.292462603523315,Homo sapiens,KDM1A,cr,None,Keratinocyte,Foreskin,1,KDM1A
75045|FOSL1,0.515084995165996,-0.288121101277497,Homo sapiens,FOSL1,tf,MDA-MB-231,None,Breast,1,FOSL1
38796|ZFAT,0.517011567692395,-0.286499739829126,Homo sapiens,ZFAT,tf,LoVo,None,Colon,1,ZFAT
71878|NIPBL,0.522293236866275,-0.282085597771419,Homo sapiens,NIPBL,not sure,HepG2,hepatocellular carcinoma,None,1,NIPBL
63593|SOX13,0.527790833572864,-0.277538156676206,Homo sapiens,SOX13,,HepG2,Epithelium,Liver,1,SOX13
77068|ZNF649,0.532071376964429,-0.274030103527371,Homo sapiens,ZNF649,tf,293T,None,None,1,ZNF649
35315|GRHL2,0.538774743115556,-0.268592771491448,Homo sapiens,GRHL2,tf,None,Epithelium,Bronchia,1,GRHL2
64547|HNF1A,0.547980269316481,-0.261235078525196,Homo sapiens,HNF1A,tf,HepG2,Epithelium,Liver,1,HNF1A
38806|FOXO3,0.558626665907324,-0.252878337199287,Homo sapiens,FOXO3,tf,LoVo,None,Colon,0,FOXO3
1086|SMAD4,0.562390508927359,-0.249962017211661,Homo sapiens,SMAD4,predicted transcription factor,H9,Embryonic Stem Cell,Embryo,1,SMAD4
39443|FOXM1,0.57547773803647,-0.239971472094867,Homo sapiens,FOXM1,tf,MCF-7,Epithelium,Breast,1,FOXM1
47774|LDB1,0.576669212765684,-0.239073234097839,Homo sapiens,LDB1,not sure,None,Erythroid Progenitor Cell,Blood,1,LDB1
73932|ZNF680,0.592465005228874,-0.227337296769054,Homo sapiens,ZNF680,,293T,None,None,1,ZNF680
73940|ZNF558,0.598359021092033,-0.223038156993538,Homo sapiens,ZNF558,,293T,None,None,1,ZNF558
50111|MAF,0.603887779801329,-0.219043758632365,Homo sapiens,MAF,tf,None,Keratinocyte,Foreskin,1,MAF
76279|CALU,0.61278130366592,-0.212694493764797,Homo sapiens,CALU,other,Calu-3,None,Lung,1,CALU
53340|T,0.618388249905215,-0.208738771110767,Homo sapiens,T,tf,H9,Embryonic Stem Cell,Embryo,0,T
54240|PGR,0.624347181020093,-0.204573844818126,Homo sapiens,PGR,tf,None,Stromal Cell,Endometrium,1,PGR
38858|MECOM,0.627147900554769,-0.202630027239085,Homo sapiens,MECOM,tf,LoVo,None,Colon,1,MECOM
77267|NFIA,0.628228408451337,-0.201882428722778,Homo sapiens,NFIA,tf,HepG2,Epithelium,Liver,1,NFIA
73929|ZNF766,0.628435260873876,-0.201739455119448,Homo sapiens,ZNF766,,293T,None,None,1,ZNF766
39786|RUNX1T1,0.637953227178742,-0.195211161283239,Homo sapiens,RUNX1T1,tf,Kasumi-1,Myeloblast,Blood,1,RUNX1T1
53479|MBD2,0.653385662288835,-0.184830399791957,Homo sapiens,MBD2,cr,HMLER,None,None,1,MBD2
70101|5MC,0.656790786440784,-0.182572948193719,Homo sapiens,5MC,other,293T,None,None,1,5MC
48621|BATF,0.657267280629134,-0.182257986761017,Homo sapiens,BATF,predicted transcription factor,OCI-Ly3,B Lymphocyte,Bone Marrow,1,BATF
36026|HIRA,0.659409510800597,-0.180844793228003,Homo sapiens,HIRA,predicted transcription factor,None,Epithelium,Cervix,1,HIRA
8768|CBX8,0.665620088113589,-0.176773579708263,Homo sapiens,CBX8,cr,K562,Erythroblast,Bone Marrow,1,CBX8
76816|NEUROG2,0.671764352262615,-0.172783046082928,Homo sapiens,NEUROG2,tf,None,Fibroblast,Fetal Lung,1,NEUROG2
77018|ZNF93,0.672183064692354,-0.172512433555489,Homo sapiens,ZNF93,tf,293T,None,None,1,ZNF93
35875|CBX5,0.675428005066156,-0.170420936307137,Homo sapiens,CBX5,cr,HEK293,Epithelium,Embryonic Kidney,1,CBX5
65069|ZNF490,0.685231012883358,-0.164162989519553,Homo sapiens,ZNF490,,HEK293,Epithelium,Embryonic Kidney,1,ZNF490
41515|NR5A2,0.685480451410013,-0.164004925944952,Homo sapiens,NR5A2,tf,MCF-7,Epithelium,Breast,1,NR5A2
46304|HDAC2,0.691434969809022,-0.160248659489832,Homo sapiens,HDAC2,cr,K562,Erythroblast,Bone Marrow,1,HDAC2
62959|NFE2L2,0.693677559339559,-0.158842354819537,Homo sapiens,NFE2L2,tf,IMR90,Fibroblast,Lung,1,NFE2L2
39785|RUNX1,0.695208832400633,-0.157884718955118,Homo sapiens,RUNX1,tf,Kasumi-1,Myeloblast,Blood,1,RUNX1
33032|ARNT,0.702758491599261,-0.153193898004519,Homo sapiens,ARNT,predicted transcription factor,MCF-7,Epithelium,Breast,1,ARNT
63895|NFE2L1,0.703367440435374,-0.152817739468796,Homo sapiens,NFE2L1,tf,K562,Erythroblast,Bone Marrow,1,NFE2L1
77110|ZNF483,0.706985658047849,-0.150589396236843,Homo sapiens,ZNF483,tf,293T,None,None,1,ZNF483
62547|CUX1,0.711153546456776,-0.148036619833662,Homo sapiens,CUX1,tf,MCF-7,Epithelium,Breast,1,CUX1
71282|SMAD3,0.719702068532851,-0.142847249082534,Homo sapiens,SMAD3,tf,None,hESC,None,1,SMAD3
44099|FOXP3,0.720932135870015,-0.142105615175624,Homo sapiens,FOXP3,tf,None,T Lymphocyte,Blood,1,FOXP3
59347|RBPJ,0.721243906473137,-0.141917843016484,Homo sapiens,RBPJ,tf,LCL,Lymphoblastoid,Blood,1,RBPJ
