,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
52682|FOXA2,0.00000000000000000000000000000000000000000000000000000059778274823274939674144241644042802745889794710361090214668636887962664442905555987123612636904757036731695639739713593353883204936348395986984273483619894018288036353979523571959682879491356529994767,Homo sapiens,FOXA2,tf,CyT49,Embryonic Stem Cell,Embryo,1,FOXA2
76967|MBOAT4,0.00000000000000000000000000000000000000000000000000001322475589125081921617069119142440943903127463707965309892995190107625077348178192598404699962539222011976589448619907803861072681318835910834798799091392874634218448316269581218057798484254988875112,Homo sapiens,MBOAT4,other,HeLa,Epithelium,Cervix,1,MBOAT4
68967|PR,0.000000000000000000000000000000000000000000000000000025405352252079012076530013540660599937821688331392845404452555538755004758311738243978627722338525566441983533254734372232562161203774508455639842517050636137449021749819010022181685312574166089867847,Homo sapiens,PR,predicted transcription factor,T47D,None,Breast,1,PR
54134|CEBPB,0.000000000000000000000000000000000000000000000000000073889385476249065205310849736092760472409003061716178293538702980610706995591324858155212572296632210327500223609564537571719630936057328649228742368768466974291164602843593394168748249040640976769392,Homo sapiens,CEBPB,tf,None,Mesenchymal Stem Cell,None,1,CEBPB
34962|KMT2A,0.00000000000000000000000000000000000000000000000000016379424663788904884478753733179087238791398980797502941562539676032262090692699388067344806128117967589722215842230991442508955375517983537275399830834780893771132612440718472425035718615646841668161,Homo sapiens,KMT2A,not sure,RS4,B Lymphocyte,None,1,KMT2A
41412|ERCC2,0.00000000000000000000000000000000000000000000000000026199370959478218248889952183449444853999337836665942074682318917038407180720518905267299486654752582639667856572202941580689851703380809228937833357945358138529805967485749430061069100805083424082419,Homo sapiens,ERCC2,tf,HT1080,None,Connective Tissue,1,ERCC2
34390|SMARCA4,0.00000000000000000000000000000000000000000000000000074562857767057327777620437520539317621331681726817133367078985705985419491520922699576047993059291601061536653616705490442954881961070942685251593408352561380046518733902091607161014979575799856476197,Homo sapiens,SMARCA4,cr,None,None,None,1,SMARCA4
52153|FAIRE,0.0000000000000000000000000000000000000000000000000012294706940990935895419217751632860336468932101430733577114821814730725684659417116231472035554709539792881041112037546589299426089931220264091172024033716924829755939191404895427897543340167029443532,Homo sapiens,FAIRE,other,None,Macrophage,None,1,FAIRE
51750|FOXP1,0.0000000000000000000000000000000000000000000000000042550899883222596924683101474470441268672635582804031878282569323104703339366426926062810248672534894665320809154888051789219371527922829810330403240702463078094508442464659928916363684519941759521849,Homo sapiens,FOXP1,tf,LNCaP,Epithelium,Prostate,1,FOXP1
41572|ING2,0.0000000000000000000000000000000000000000000000000085775385347949180108951141309110994613930707842141855205995822877285640153309560268736438579868574060813077491321184079060199248810550908913239876482812026399468966491783017219589730125050313561061421,Homo sapiens,ING2,predicted chromatin regulator,RKO,Epithelium,Colon,1,ING2
36349|PTPN11,0.000000000000000000000000000000000000000000000000017834343978848194584412728545407620297953270732429876186183778521832506147967416835090045066327650110074222037515786470610607182127823145921946628616737894003504897681204089599206277495251853985983586,Homo sapiens,PTPN11,other,A549,Epithelium,Lung,1,PTPN11
52092|TP53,0.0000000000000000000000000000000000000000000000002342253039771005334942797051998583232850853298139713041283438603343576523964390364763447612594752329729413266610333950304290821486865585275190917556493787684953564437675135342949563596310781071693534,Homo sapiens,TP53,predicted transcription factor,IMR90,Fibroblast,Lung,1,TP53
63975|GATA4,0.00000000000000000000000000000000000000000000000054544135785231515175720393003534799605688249941591330507319325786035294740884994981187403521905194743594177021544510455793273433067868800689393972445212191236262312924608875944749088836058349486993431,Homo sapiens,GATA4,tf,HepG2,Epithelium,Liver,1,GATA4
45232|RBBP5,0.000000000000000000000000000000000000000000000001027065461386685933750100166404863245560288070880361529668333362555252886267136614617211678334419577785106269428187525841967563367573288922543460322177932459229426366470163508920532098195092361650693,Homo sapiens,RBBP5,cr,H1,Embryonic Stem Cell,Embryo,1,RBBP5
46157|POU2F2,0.0000000000000000000000000000000000000000000000031145399350615386684250879775938955124792222550683617310050928617953367560513209382691893019754844142080390778313436927150638160015360978295126795440897870361775259077424693730624286729097001705831909,Homo sapiens,POU2F2,tf,GM12891,Lymphoblastoid,Blood,1,POU2F2
75283|ZBTB48,0.000000000000000000000000000000000000000000000016675041285886683803369270345674282592016486861501649436680700813407613836770760857910782855884262714954355942941603320254033303073057433250636344639025704513980957585705205769438849649243675159059335,Homo sapiens,ZBTB48,,HeLa,None,None,1,ZBTB48
8412|GATA2,0.00000000000000000000000000000000000000000000012240108040797790716415208026441118367159703240117460148681129902295319351862064738769105299242343435750310787602834839221700422821166924174653155777951752968410260511052581543471198560350001402497757,Homo sapiens,GATA2,tf,None,Haematopoietic Progenitor Cell,Blood,1,GATA2
72878|MYF5,0.00000000000000000000000000000000000000000000029828572999852484902939661288431740404147975046619718250596785145516077560960311743848308513089113428218860598699583741592307943135906942443070938401907492370386726337455766137134633346353324029573741,Homo sapiens,MYF5,tf,Rh18,rhabdomyosarcoma,None,1,MYF5
33917|WDR5,0.00000000000000000000000000000000000000000000074272730819251460791906393949451294219778348353666393176997622758669632366503530296150165137538090377073391334553794277432648541415914649506578607483534733013585251676468978724967113279064769332763749,Homo sapiens,WDR5,cr,NHEK,Keratinocyte,Skin,1,WDR5
46228|TCF12,0.000000000000000000000000000000000000000000001348408951412445412935673166343151908165377116200701635865313230225791869811223079006988161691968253326315102431969153192130054869033407693522922226102411199768763657138401408657333030450515253992718,Homo sapiens,TCF12,tf,HepG2,Epithelium,Liver,1,TCF12
41291|STAT1,0.000000000000000000000000000000000000000000002580250419182703090435506590649672796103673338998811628567733818506362712030746600758878082906922748939131083434705531261660718279797252718504427912180473117299274309477198368862826081572450037689174,Homo sapiens,STAT1,tf,None,Monocyte,Blood,1,STAT1
74682|FOXO3,0.0000000000000000000000000000000000000000000047911354513772317840066034320914774254662576970399009376342906417817365722056368883533461502878735186371271066379184465240223441728378773197840555322557299398115636359762793948847206673615152347634162,Homo sapiens,FOXO3,tf,HepG2,Epithelium,Liver,1,FOXO3
34399|MECP2,0.0000000000000000000000000000000000000000000094628124247077528191107571696796793697254980083731536670566628278865534870753330691793317887308316659043905801005537333263605386600170314789581955240301936020034910539844786095967913480097540857599234,Homo sapiens,MECP2,cr,HCT-116,None,Colon,1,MECP2
64107|KDM4B,0.000000000000000000000000000000000000000000053061032733744771869894893735085263183479011676206949833733083012616697503507907119426554130504702454724599801636581304427040831027000110208290375223152820325939287996536541298811443029741401610910486,Homo sapiens,KDM4B,cr,K562,Erythroblast,Bone Marrow,1,KDM4B
45779|SMARCB1,0.000000000000000000000000000000000000000000093601539751735354039643884970425956654533254945218596149872061100268583575547421480931800111724194764984835679063716703159892992042080882881001858527003184098668096527241493594228001563033583484223539,Homo sapiens,SMARCB1,cr,HeLa-S3,Epithelium,Cervix,1,SMARCB1
56668|HOXB13,0.00000000000000000000000000000000000000000010384990790812725803874659733054501890282844364121904107551848372319020580849982201655338652450272316262906956551020083802366345734834898449061493828997235765605914275049129591189642351534663765712356,Homo sapiens,HOXB13,tf,LHSAR,Epithelium,Prostate,1,HOXB13
49651|MED1,0.00000000000000000000000000000000000000000025137578773958610891729663013672703173040744849260726112284318644493093718795597443535584841852477088764311493117749397364922641467826232734097162490174001898231582328992064019958017814892865780381386,Homo sapiens,MED1,predicted transcription factor,MCF-7,Epithelium,Breast,1,MED1
63808|HLF,0.00000000000000000000000000000000000000000032213298540181201494388781423537043126382174469705601346339810087665465720499465560431375542182991380864348302132059500747270488208123326962462281827807133633573873666433579095714603262130108867928371,Homo sapiens,HLF,,HepG2,Epithelium,Liver,1,HLF
8532|VEZF1,0.00000000000000000000000000000000000000000049342523683545071259300942285163837104744411712375520038083304253782091412060352000852850530186968669630713526355873696773794197002053767780477526015241068898077329332027683011943752450404332949300906,Homo sapiens,VEZF1,tf,HeLa-S3,Epithelium,Cervix,1,VEZF1
68976|ESR1,0.00000000000000000000000000000000000000000066967347957106431975355249626999361071500144778162004578209461258048514688459393746852026248896832053894412118913708456693778531420924656805317561324088546836201100529250650779450275509471111607511645,Homo sapiens,ESR1,tf,T47D,None,Breast,1,ESR1
46253|REST,0.00000000000000000000000000000000000000000096569686497197883465845939209080490362355855059404828947138889556678566983589043095225108586264635688913581836797021420276151329056111559626419136780934307299846169937015399048467781159975171209675103,Homo sapiens,REST,tf,HepG2,Epithelium,Liver,1,REST
44026|AGO1,0.0000000000000000000000000000000000000000022714144539557469653032020369053301181252489783393247481278113113390118200091831173792001229628156886764370993010867662823974875357346913961258322177447202632642040910958967314546479546770241739976288,Homo sapiens,AGO1,other,PC-3,Epithelium,Prostate,1,AGO1
1208|DDX5,0.0000000000000000000000000000000000000000027323134297290274770341167191292558615441758135256994299057584562078110997334276066238024024775423314548754281039858322257848444609609806554215932821792567536677546417588002725675867543438522729759722,Homo sapiens,DDX5,predicted chromatin regulator,HeLa,Epithelium,Cervix,1,DDX5
1312|PHF8,0.000000000000000000000000000000000000000004083383983308398165404341005338233801262214244062284016947952582910113657689942756981287964624063045035107504021187222286707566432819070386922687432314345441602121758293355941598658939693077015362919,Homo sapiens,PHF8,cr,HeLa,Epithelium,Cervix,0,PHF8
77298|TRIM25,0.0000000000000000000000000000000000000000050654225301847886245741561205264578389489021167501645323550627567096083582285637937479302439803786761868832706494640045417233598654630167766483894768703494102758911158664490501549496315212904004266561,Homo sapiens,TRIM25,,None,None,Breast,1,TRIM25
74673|RUVBL1,0.000000000000000000000000000000000000000010319824077966988461256688465989989926193401157970281574104372948570855906079759227633358168025781224345230505961065052114834811508320874198395698667670219594165474537298559421219813565090478288525019,Homo sapiens,RUVBL1,cr,HepG2,Epithelium,Liver,1,RUVBL1
69820|NELFE,0.000000000000000000000000000000000000000015939873020910062145148572292504400532232310489861039395536426521607905885361809211212827703639146736382957742245728459151744406932083176601112728987551156929562920408443376996310931920699608042416226,Homo sapiens,NELFE,not sure,MCF-7,Human Breast Cancer Cell,Breast,1,NELFE
58843|XRN2,0.000000000000000000000000000000000000000030814504209839114762447821029609679679558172159140266037278083171116627114682065535143211844890389136977571962341209846405767881540898982057039466566566107053473443991465651718349128966228629513881165,Homo sapiens,XRN2,not sure,HEK293,Epithelium,Embryonic Kidney,1,XRN2
51103|CHD8,0.000000000000000000000000000000000000000038521972810957160968671352503071698226063668586644741942498287463579641141263316950066955513927248187194869758078219482001502840646185574128418189406257071645820285690904559899224357407294397028920855,Homo sapiens,CHD8,cr,None,Neural Stem Cell,None,1,CHD8
45791|TBP,0.000000000000000000000000000000000000000047160984587290121825154384519063859594831613300359329629456768261289127901669611964534108384354021496736221427288402489785808647810283489058954572959557103369113678103427484339187085210750308597294476,Homo sapiens,TBP,tf,HepG2,Epithelium,Liver,1,TBP
46230|CEBPD,0.000000000000000000000000000000000000000049247703842904673795203956817224464628975998078150089236952280908325890363568683196018976879981654477641068723364690937389160895261974893259164387943424705507102908083407858329394089681003411255081419,Homo sapiens,CEBPD,tf,HepG2,Epithelium,Liver,1,CEBPD
76857|ZMYND8,0.0000000000000000000000000000000000000001816676040263863807059380177096256208328525145307991683657702467911804845676316660097109898021238724289280920754670494793916923083858787564197621576993581656103225443460211274586921331897710928448493,Homo sapiens,ZMYND8,cr,HEK293,None,Kidney,1,ZMYND8
64039|HBP1,0.00000000000000000000000000000000000000024457248156877544276209197557609138963312674269427555570642957676368755488286560762679603886825048878689392204991848819876255818837740757227465348129437651462543017645119177879084327113143120680088457,Homo sapiens,HBP1,tf,HepG2,Epithelium,Liver,1,HBP1
54609|YAP1,0.0000000000000000000000000000000000000011657377464692900825434109970238320254174232708662906077509590116692827165088898328980080141318332257127890358816333504897079727537037606348879504870336946907296116539207406974978419865225413550721833,Homo sapiens,YAP1,other,SF268,None,None,1,YAP1
70228|DNMT3A,0.0000000000000000000000000000000000000016678936984220194236978133495575888559203225038172418042396666243293542157272266508096084114359218630007371128115258597520720217122433841275673512090648409141021491188255152728150192877752844144654388,Homo sapiens,DNMT3A,cr,None,Stem cell,Foreskin,1,DNMT3A
43305|CDK6,0.0000000000000000000000000000000000000019022739690775785357108458987677092157712406559041168353192670167569385052130167247942015225939141062422437708557038491883946924464387828736339496739802542029529761926005794831471926716456769051864297,Homo sapiens,CDK6,predicted transcription factor,None,None,None,1,CDK6
41492|BMI1,0.0000000000000000000000000000000000000040191354256428733797984364720132379125621275160655781974310177383673236371672908983816322853770519070096023132047022066712298389140525894765925986912795243815293534981455399617294722869151455780526616,Homo sapiens,BMI1,cr,DU145,Epithelium,Prostate,1,BMI1
76206|AR,0.0000000000000000000000000000000000000041367678116854260741529506131930863443475890800318991858519837446749400057593382418828335700512215025859653023247230605782217661257642764931053367918833975947903883280771559361803063662482224473828741,Homo sapiens,AR,tf,None,Fibroblast,Prostate,1,AR
36362|GTF2B,0.0000000000000000000000000000000000000041968633580306862243966368108151601545365357641294293095153289431301525885037484397290139028755234193295597218551247769827845763464797059043898857752820577829864289579980462201538061616656006983808589,Homo sapiens,GTF2B,tf,IMR90,Fibroblast,Lung,1,GTF2B
69626|PSMA7,0.000000000000000000000000000000000000011149823457571261248427516630756045452688827920877499185219770077895458001724531249136373685768293285899976809823047294720071583194388219453947545483867997454370923197056959012989451177818751843079838,Homo sapiens,PSMA7,other,None,Hematopoietic stem and progenitor cell,None,1,PSMA7
74571|MAZ,0.00000000000000000000000000000000000001378404860487574129303048946902450421012666478732459164593405464241913922508765806723097990898761118243969454270669462796000311008593228906703963088132012502245387762033701248643213127354715879542872,Homo sapiens,MAZ,tf,T778,None,None,1,MAZ
49238|ETS1,0.000000000000000000000000000000000000015049450195136552063030186550756605600790841342852665990246964307221311019656809978946187794976537737652927365352884344315194932663433315589263871315310292878040946521033309695446536765033761601743784,Homo sapiens,ETS1,tf,DU145,Epithelium,Prostate,1,ETS1
55468|NELFA,0.000000000000000000000000000000000000016838233068002675376671747633693219668172251065882752684993025235792939990834259830981105458224873744653843283932449001257405882524721242941353248432580280390249135248652481621400712371316103732476041,Homo sapiens,NELFA,not sure,HeLa,Epithelium,Cervix,1,NELFA
63664|BCL3,0.000000000000000000000000000000000000025831742071279108809299312731946453173819784412487312208431662104598202854189297841559317921491886290302658006801117495977752820678888345635933613510486530454650231513559638214885875555541310695248547,Homo sapiens,BCL3,tf,A549,Epithelium,Lung,1,BCL3
77271|L3MBTL4,0.000000000000000000000000000000000000075791150781182101710048144719534382883006215145980478337935132839988380947523774181185625514068183764317557626220199886322525676212268817498362638784261547654431929868120519656929672798501723964947293,Homo sapiens,L3MBTL4,tf,HepG2,Epithelium,Liver,1,L3MBTL4
45793|SREBF1,0.00000000000000000000000000000000000010124773943161057844108479360172745584838485577451320286935101645455719248383107940926090842988046782851015052913919761373800253926599372166138670890180692557045354088103143325024516487645404920154485,Homo sapiens,SREBF1,tf,HepG2,Epithelium,Liver,1,SREBF1
55563|MEF2B,0.00000000000000000000000000000000000012443770832484731068246302237235585383249822376642071356540359651115415028790931269246107332417558431035877901752263559955945892137623987482081019484731215645758983896739920852140727837724209962223538,Homo sapiens,MEF2B,tf,None,B Lymphocyte,None,1,MEF2B
46306|THAP1,0.00000000000000000000000000000000000015333430809234378782832728880407664242205031648840089344129116097278774681386884585121642838916579804622947495738019133437809009372203694453067520111051164831154874185821258258852620811596981436346393,Homo sapiens,THAP1,tf,K562,Erythroblast,Bone Marrow,1,THAP1
75942|KDM1A,0.00000000000000000000000000000000000020887334411644935847327553517682130659154136960615112956067646586307709101911977667934355251394793539023363178378554029512388852451083009505897788410826923785768773252940034617319526693177961796621866,Homo sapiens,KDM1A,cr,PC-3M-luc,None,Prostate,1,KDM1A
75840|MYCN,0.00000000000000000000000000000000000029132559177808205530652173692629361623363898709175608925209563503699121384973265250164869609417969077423227651474422914633407484356512760436150590591859546753604139874108067033695842919969310633575658,Homo sapiens,MYCN,tf,Rh4,rhabdomyosarcoma,None,1,MYCN
72356|TAL1,0.00000000000000000000000000000000000035320875805946921703212489187047549350238488142436297767636906808423669133549164035965218783107015732963482055473141190583560478709594385143097317801248688448419559644217765385194939335877439530430807,Homo sapiens,TAL1,tf,Kasumi-1,Acute myeloid leukemia,None,1,TAL1
70133|KDM2B,0.00000000000000000000000000000000000040027511716933139509038376661011740434111120577281316753583110780685481300925925486988468259954303896612285593148351349710936334734262857220449019565754477395215320261541435944608227625614277840313095,Homo sapiens,KDM2B,cr,OCI-Ly1,B cell lymphoma,Bone Marrow,1,KDM2B
64581|CBX1,0.00000000000000000000000000000000000058761723190247496349347932803835455127849408194174644462245485533071321690366196104460949577833848325007602121775916580300575181076554638889821862135518945554329399467237594690091071092385246805402168,Homo sapiens,CBX1,cr,HepG2,Epithelium,Liver,1,CBX1
46320|TAF1,0.00000000000000000000000000000000000065146616949401135744341541016870581206188827197527511783940548517782271348608575124373211035789123495874676284389926699110980998672952424361508203076082285020541929374523777640102690557729566331516747,Homo sapiens,TAF1,tf,MCF-7,Epithelium,Breast,1,TAF1
76859|IRAK1,0.0000000000000000000000000000000000042668500210708387617654177856092676333110367592829632121507335752129823935966419766986859354922964834464274310279597104566774309367187108149038006834697441912374676572645018791925331887314386049473957,Homo sapiens,IRAK1,other,HEK293,Epithelium,Embryonic Kidney,1,IRAK1
72856|TRAF7,0.0000000000000000000000000000000000067470629789889369399891228615733746245273367174729047121860367177779760797361846230386261410463017859783529966714680368375348777921371489194047898645887906489366823551189992779150169114057402318609184,Homo sapiens,TRAF7,other,None,None,meningioma,1,TRAF7
36226|DCP1A,0.000000000000000000000000000000000013877263305795938701706002235105202148273741738751943603780764377267393893876700835896709326183061544076688387874856224962929385860001876244400802182150991450715595452928089274080973848503849199315246,Homo sapiens,DCP1A,tf,HEK293,Epithelium,Embryonic Kidney,1,DCP1A
62486|YY1,0.000000000000000000000000000000000015231364865625564309046393016683228477306963694913661331234177656728932700548344247019964732726640570471717842897034571910943566008991554792306328490694435034396318403143013486145571212617978608715697,Homo sapiens,YY1,tf,None,None,Liver,1,YY1
51863|HSF1,0.000000000000000000000000000000000015703940813449437897890666349484391261217400415996358163709349496156573206723482389203903775262621671261003560041931286225925483615561187316643674122639501170690020137202146992453645340530145554360647,Homo sapiens,HSF1,tf,451Lu,Melanoma Cell,None,1,HSF1
41489|RING1,0.000000000000000000000000000000000019370066321484668967105539730433141060021426403538704069479206002684419054986229349894003209300839416511838806429918236073283493589397350587802258032435279257365422784314012538280395540578369171895222,Homo sapiens,RING1,cr,DU145,Epithelium,Prostate,1,RING1
73297|LARP7,0.000000000000000000000000000000000024954208431702317766525640538806963528846166049618915648156313778954721600581144428564673283590253427722854684266079912182946379437347555364476891517954296503936067170183264685289035036669498625304618,Homo sapiens,LARP7,predicted transcription factor,HeLa,Epithelium,Cervix,1,LARP7
50372|SUZ12,0.000000000000000000000000000000000031511722598748880348466267149611344994167382007244616960883213290942074204402144045634810748733987105032714304752270059360353630915536537842360071522926508233364549578085893225771949138870561859507213,Homo sapiens,SUZ12,cr,None,Proerythroblast,Fetal Liver,1,SUZ12
38742|NFATC1,0.000000000000000000000000000000000040531130259530396899789051507121714099432109126149882948094791505840083948282697140827068025475158135135003979215724675852882704676462943253152755889486070558275058806756603145126901763181762744759066,Homo sapiens,NFATC1,tf,None,Endothelial Cell,Umbilical Vein,1,NFATC1
46232|JUND,0.000000000000000000000000000000000045874521201726630990199229162785210854507157989958693399071026802019124667515447833735820415735759382646896126255790330754964107607780869507647782681048466210976450259425348242503441067963556074021305,Homo sapiens,JUND,tf,HepG2,Epithelium,Liver,1,JUND
76568|UHRF2,0.000000000000000000000000000000000054293600373922582322908809866834041535576029029097166145269315538215896223972504542310026656263749197705998375447363247361752037111454845649423197564110623384070817978157409650217850746941452999215252,Homo sapiens,UHRF2,other,293T,None,None,1,UHRF2
5439|FLI1,0.00000000000000000000000000000000010680249449261989601204089657886897168491229751017954584220184196604344738048976332027084832021407301193854325506473491006393985010977413586292991707980239573895625363693490222507148035029257675557745,Homo sapiens,FLI1,tf,EWS502,Small Round Tumor Cell,None,1,FLI1
53346|CDK9,0.00000000000000000000000000000000017946984533242671796754423735244510636096517726344163624553986456099168874350187407878449129701325811092252071468715688913171161641628850978351287894432267709968370935829938944519556467866631525943815,Homo sapiens,CDK9,tf,HeLa,Epithelium,Cervix,1,CDK9
46307|PML,0.00000000000000000000000000000000048854954951590325057358858389404884194548647369428766125541521969840380559090894115775666054753080730453253516180436625386407849708421423501008861496569343514279804527482371968731823854646744722345978,Homo sapiens,PML,tf,MCF-7,Epithelium,Breast,1,PML
41490|RNF2,0.00000000000000000000000000000000051920584996059782912302491351634518874369339450015851103852922657864110706371193709010816344779068804660898733895428133295755700213655726636358627408771917901290694800133077276797929880816964983923038,Homo sapiens,RNF2,predicted transcription factor,DU145,Epithelium,Prostate,1,RNF2
9216|POLR2B,0.00000000000000000000000000000000059932929514456745461573567643638266503621456426888527531574870801065521002534956553703179161147273555243263213872470380296264826300050215812194969342944890553441440388247036363299552697857444150101936,Homo sapiens,POLR2B,tf,HeLa,Epithelium,Cervix,1,POLR2B
1212|E2F1,0.00000000000000000000000000000000072962764824794308812287169711051911152275230393782257431092322622813473120026904184217500715029046159009481942276610390048742278767088498079118087747614262142327798599432279864422412511230447004558735,Homo sapiens,E2F1,tf,HeLa,Epithelium,Cervix,1,E2F1
55665|PAF1,0.00000000000000000000000000000000080008655506495658688204023391141069586188993828753814741706084608146656724289218957089885688034441897467629895643485315953982671504541017291787386563260431674249244951999983078720178045102883019915965,Homo sapiens,PAF1,not sure,HCT-116,None,Colon,1,PAF1
72408|PARP1,0.00000000000000000000000000000000105600340212950511849054820858971277820518634913742242360185121667719621556001302625830074249299173265193137739713842224647464182468325561067722049267022874841025514708463255793310846379000532472632,Homo sapiens,PARP1,not sure,MCF-7,Human Breast Cancer Cell,Breast,1,PARP1
46249|NR2F2,0.0000000000000000000000000000000011713932368485786599226903935333131263261425281330047973131689077719621508424950258626544216913462837445761412792218959485451471341461807937407677853915447502861108536152568049819724122540511843505169,Homo sapiens,NR2F2,tf,HepG2,Epithelium,Liver,1,NR2F2
63594|SOX13,0.0000000000000000000000000000000040430650359011592217312400015558808851228288056137618998250889713232162548665353010680128104017250035369707925592477423901288268306181647506691990629975723684971420265670869091349225358183529292617629,Homo sapiens,SOX13,,HepG2,Epithelium,Liver,1,SOX13
69558|PSIP1,0.0000000000000000000000000000000041317312500559454194510396545605781437595782246009725886303952280548691612526620252889028925179025993988016156079331448918880728260102926344213833964609520780092546108826689408897923143800543595787066,Homo sapiens,PSIP1,predicted transcription factor,MV4-11,Leukemia Cell,None,1,PSIP1
72552|TRIM28,0.000000000000000000000000000000019320420316324935039616555886784527466801143876625838124082256642511149925805619825124635305034110760983332085657718532964339337705918101612937250667748981105531085034275367942185538249791912745610484,Homo sapiens,TRIM28,cr,None,Neural Progenitor Cell,None,1,TRIM28
63097|SMAD5,0.000000000000000000000000000000029805986780253921428921294601463891964481289289399440744260136855024819752354119379748177765066238215552449412589472959095703575709609856740783783466778975388776876477516722666185447837811189569891254,Homo sapiens,SMAD5,tf,GM12878,B Lymphocyte,Blood,1,SMAD5
65056|TGIF2,0.00000000000000000000000000000003514434127644674374870218034837340172205559131047062883889630735696504946118624876198420500261433278375588221930127662742628048539155522739094063586536019092449517803487371111590754970600355405850759,Homo sapiens,TGIF2,tf,HepG2,Epithelium,Liver,1,TGIF2
76519|SETD1A,0.000000000000000000000000000000056872208115752847549467580378781539859491418908871871900321278770970401610656487355206651350493501033007255948700869548661853722243072528411593512094878876852063215325036158623029274842020488793783963,Homo sapiens,SETD1A,predicted chromatin regulator,None,Erythroid Cell,None,1,SETD1A
46132|EGR1,0.000000000000000000000000000000057556839847817666321297664268619493646052596854344439477184501280988976552467199287564443938213519865795899008921518354227196796142947189455899346330994039916361241751067361165962049089910107536224965,Homo sapiens,EGR1,tf,GM12878,B Lymphocyte,Blood,1,EGR1
