,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
46157|POU2F2,0.00000000000000000000000000000000000000000000011091437269253303279021564685533661308678051122600753800256729251548102675864607183775590855413088344673801985200444844252932812176527434657006642694099872749660494294742071126479886535048922866944768,Homo sapiens,POU2F2,tf,GM12891,Lymphoblastoid,Blood,1,POU2F2
54134|CEBPB,0.0000000000000000000000000000000000000000000019289497347228639648147696593545199020426193521867602120468440325465007941395799926588933730965090976155676989058107017412125698591909655818131187925540594663741575604462111859544860444216269673218556,Homo sapiens,CEBPB,tf,None,Mesenchymal Stem Cell,None,1,CEBPB
74682|FOXO3,0.0000000000000000000000000000000000000000000031212373976772850716973150626679007160593406138321531123918205778405779956319156291609024537962894090395858044783862383856663137830756434973882865752360447283282881647000433366601479603306124370321038,Homo sapiens,FOXO3,tf,HepG2,Epithelium,Liver,1,FOXO3
46228|TCF12,0.0000000000000000000000000000000000000000000098451882628857631172199225208083116005890380487206996695221522586934516320095127117533767197285265137159770720539473488102189476404221622387678326470579297143264760141967292064624344815531950509624496,Homo sapiens,TCF12,tf,HepG2,Epithelium,Liver,1,TCF12
46230|CEBPD,0.000000000000000000000000000000000000000000032261095097771473317201968978693162884986299045656650368178282135199327178340849757801477781342101976413514968197128847699420465458824672294720086390147262151700963215171990771128264783924117548403539,Homo sapiens,CEBPD,tf,HepG2,Epithelium,Liver,1,CEBPD
52092|TP53,0.00000000000000000000000000000000000000000004680002999120304312554279824181723482909264642318563340362577740333556668890484598801808021532238450560107201643908198550760659104093715804582608651669235601479004099907421742226647791032518386562838,Homo sapiens,TP53,predicted transcription factor,IMR90,Fibroblast,Lung,1,TP53
63808|HLF,0.000000000000000000000000000000000000000000088850616742144676168908121087990412150918584496634525306550436020468888439406609986178918521711085039541282236659971809543173494629004720467235424181878773368454866679578278049644532726103155457557971,Homo sapiens,HLF,,HepG2,Epithelium,Liver,1,HLF
8532|VEZF1,0.00000000000000000000000000000000000000000013675280048648149282404517541042574809959658202700936432889138021587184272913439401742756542779637380818604074493090823169058219453166996751475538352050952958652197413564653651803018031586062475205188,Homo sapiens,VEZF1,tf,HeLa-S3,Epithelium,Cervix,1,VEZF1
8412|GATA2,0.00000000000000000000000000000000000000000016178460375507548123929093300366810870828078444445211241916375410478329602336488458039957944068732924252551943742643553220738091415276348960705400785009537710964400432572912342570974556263065068870943,Homo sapiens,GATA2,tf,None,Haematopoietic Progenitor Cell,Blood,1,GATA2
45779|SMARCB1,0.00000000000000000000000000000000000000000017767795239727151182612873672554008063319932501079295154031710520573474693902371762617811905597149211477018828931354743175835859339405923777286733364030734295483776252295169804536664232190093409086732,Homo sapiens,SMARCB1,cr,HeLa-S3,Epithelium,Cervix,1,SMARCB1
68975|PR,0.0000000000000000000000000000000000000000019389054133176609369976861745733745562211377755591181016055267643871974297103467554401796045146936431338071430609612924720503300488374693903929078415526733146297266935694815407729298384773333532170415,Homo sapiens,PR,predicted transcription factor,T47D,None,Breast,1,PR
45791|TBP,0.0000000000000000000000000000000000000000023387222103137070008498094980987136755200050017769571716151518041788695051703016639542833974738407295038476277381662989437443781105082857874406603182335733620791211456552866011644070945528135507783191,Homo sapiens,TBP,tf,HepG2,Epithelium,Liver,1,TBP
8819|RBBP5,0.0000000000000000000000000000000000000000067188304754952335497956165195677681174773812640535153121306740161178646635443610276895119770330843918652063073103432360602482448269294632994282014716579995457913632271690228633277513687103664393053625,Homo sapiens,RBBP5,cr,H1,Embryonic Stem Cell,Embryo,1,RBBP5
58845|XRN2,0.0000000000000000000000000000000000000000081291613994168558207586661845753481505980225820521046732207181458789981791109797557565414220208716693114354371831092664050182109195818762021775820035312424736346769381932826927046145331609346768081419,Homo sapiens,XRN2,not sure,HEK293,Epithelium,Embryonic Kidney,1,XRN2
49651|MED1,0.00000000000000000000000000000000000000002202681688101986921573675090273107165097260512572273318981178132034337989324846492484395377913804044862173012233331167235202331074679920746929513395307106574055800230404683695116809334356864204317693,Homo sapiens,MED1,predicted transcription factor,MCF-7,Epithelium,Breast,1,MED1
34399|MECP2,0.000000000000000000000000000000000000000022519125655422955685239757190544888996690114912279712694872496517363270231043915253291283545703107039751337222280921871624598932442415351984005072075619487713847836128515342455912490189520126604676478,Homo sapiens,MECP2,cr,HCT-116,None,Colon,1,MECP2
72878|MYF5,0.000000000000000000000000000000000000000029981816953722756274419661315957907934870918821480612577138856493795153181740811740173675553968052552409930874571297838086672734004302349214289770765148018178769033971519118922638879966354125651763665,Homo sapiens,MYF5,tf,Rh18,rhabdomyosarcoma,None,1,MYF5
1208|DDX5,0.000000000000000000000000000000000000000034330979609063083407479067868439620980560683930970283878111023838014186812687666332934904610426826178828202852256789111753227983452080428482171684742855328507805384631153758981319778274404629213076241,Homo sapiens,DDX5,predicted chromatin regulator,HeLa,Epithelium,Cervix,1,DDX5
75283|ZBTB48,0.000000000000000000000000000000000000000046688698390768417017498441364674263829702221327801633035805287712265323262003309677490454516828764598928092155371257556142785876526255677243270003960195935657638659999750077815644942268328911885386907,Homo sapiens,ZBTB48,,HeLa,None,None,1,ZBTB48
64107|KDM4B,0.000000000000000000000000000000000000000047295692949118962355686790168491532074853487821886796466876203698790126741243056858468032082584876645294525964127056458261842294800256509423355381837112437064196826194874709548902883246305517660100346,Homo sapiens,KDM4B,cr,K562,Erythroblast,Bone Marrow,1,KDM4B
74673|RUVBL1,0.00000000000000000000000000000000000000015442282377148443278343053629137302900431802758838160427767741853667111386066531449911882945683912652914636510404183829878200915173639445865677852147272469857266567432441881589613222203244485311926295,Homo sapiens,RUVBL1,cr,HepG2,Epithelium,Liver,1,RUVBL1
46113|REST,0.00000000000000000000000000000000000000025349799451247207320449842290564373196434329433534640359314530780192902763739413305924906713530671914860604268363764859509180008418903197887896440374501194704418450870918935533681514884212304283395541,Homo sapiens,REST,tf,GM12878,B Lymphocyte,Blood,0,REST
45793|SREBF1,0.00000000000000000000000000000000000000029101859921787901654329453844265935332077261563401409881083772467493912137290557963172279384189884557865622600353407227728584994536361186862748088024827576286637342831176241332385838483215229276383409,Homo sapiens,SREBF1,tf,HepG2,Epithelium,Liver,1,SREBF1
72356|TAL1,0.00000000000000000000000000000000000000060687283595739021554609973264041755150212807297555354415119450958214590868903834822139796320142921003312178351780845269373814000969776623983482262278733825398290746657860420855879476928357675069969621,Homo sapiens,TAL1,tf,Kasumi-1,Acute myeloid leukemia,None,1,TAL1
76967|MBOAT4,0.00000000000000000000000000000000000000093897136432414386981784464159966270344380040244678766546953897626429819620038622894259680886256659485027765876050488954714751910634710849255770671084238706891977313704740062776498797449377908968183895,Homo sapiens,MBOAT4,other,HeLa,Epithelium,Cervix,1,MBOAT4
56668|HOXB13,0.0000000000000000000000000000000000000017177892746724675825507746873687556947143890132622944406763980334671213310398762630065486226975168240853383270186038286918913382898299835682156461524036854290402577319098963495373910786622276934190861,Homo sapiens,HOXB13,tf,LHSAR,Epithelium,Prostate,1,HOXB13
1312|PHF8,0.0000000000000000000000000000000000000025296548142863236853346084378996250902355573166071872150364581196380954200018971760152625250802459816619261564476087638348852013849308541006435178072536453163043100498834263024673261864251799246735699,Homo sapiens,PHF8,cr,HeLa,Epithelium,Cervix,0,PHF8
1374|CEBPA,0.0000000000000000000000000000000000000036478805823336163491448479850640336927919090344969842060922252380514719560559587408261957464050963984595405718334509479191351576972348113951011689091865465715952915164486462575436339083077666624862916,Homo sapiens,CEBPA,tf,HepG2,Epithelium,Liver,1,CEBPA
1212|E2F1,0.00000000000000000000000000000000000001092491217592758492785346075661344006275918177945871448570640082650575537220265929712837714171207682676022733261360490447165982052787103147255821827860339998650060294212242082796640157727121861011491,Homo sapiens,E2F1,tf,HeLa,Epithelium,Cervix,1,E2F1
69813|NELFE,0.000000000000000000000000000000000000012956007553645206951552242226879127825600822571092621028721967023137028081338358775705453588377167124150412587794457038093550103908686859699361217712521676976818224260558343985397485403235317794680183,Homo sapiens,NELFE,not sure,MCF-7,Human Breast Cancer Cell,Breast,1,NELFE
41291|STAT1,0.000000000000000000000000000000000000013276820103192051310090040115713858828431037855107515381026002150743565519062427954065273661360747352627624743517303169633820553755666934570621263408495952017435699495754859001753750265935211387981474,Homo sapiens,STAT1,tf,None,Monocyte,Blood,1,STAT1
51863|HSF1,0.000000000000000000000000000000000000031580403424259049791327479857194488648789684337205027340532197811113188022707604387115181411043825928893108958418689815662205503181648544154002632231381289726786209480884228367732621320884973783544247,Homo sapiens,HSF1,tf,451Lu,Melanoma Cell,None,1,HSF1
36362|GTF2B,0.00000000000000000000000000000000000010278393670981898607271781446240340844993967865437024001199053145293685259828445064890910754928338757049855985914604404820277219709974139083998118867509161507309124627735575645848417546419182858678045,Homo sapiens,GTF2B,tf,IMR90,Fibroblast,Lung,1,GTF2B
41412|ERCC2,0.00000000000000000000000000000000000011645029753085036763990982264014153357584685155684231253710019127861873920461367218767201815285647554160359120078158830468172812485174437905562519695963616816054023663052747098891868954591741807946682,Homo sapiens,ERCC2,tf,HT1080,None,Connective Tissue,1,ERCC2
33917|WDR5,0.00000000000000000000000000000000000016411263940333466987365610641553787061098773043494164922416341065807191082792608516372853643385385763623474746167249901235469211672280279055423013914872383594808584171758041409637858477566275323488235,Homo sapiens,WDR5,cr,NHEK,Keratinocyte,Skin,1,WDR5
44026|AGO1,0.00000000000000000000000000000000000033723437987756940539520539011856097786621081245683495247138587529856137814802624315001832111330775859651444126251540961921097973353462790442342953970108163284497824793221085885671052400538040118037527,Homo sapiens,AGO1,other,PC-3,Epithelium,Prostate,1,AGO1
36226|DCP1A,0.00000000000000000000000000000000000036756397141276505145282417129630618000838106455637651009860064603469721417904573425417592749348207746253180175804407933528919066595951884848812106935982884551968772121668946154056696801273364440238605,Homo sapiens,DCP1A,tf,HEK293,Epithelium,Embryonic Kidney,1,DCP1A
62486|YY1,0.00000000000000000000000000000000000072347713700757681016666357530560597753447060356089202274441344999695399398579674299060622235537338002956325760510796454395938812591716341733233283254408864069509578217256306421543496091299503834320789,Homo sapiens,YY1,tf,None,None,Liver,1,YY1
77271|L3MBTL4,0.0000000000000000000000000000000000015787708194245250159480053571821505072474893065071644526969202306405573585694789080354981612332758512162647614901894684699174659645681390187405855120874497831493804195956636056700921820894548372273473,Homo sapiens,L3MBTL4,tf,HepG2,Epithelium,Liver,1,L3MBTL4
55468|NELFA,0.0000000000000000000000000000000000021562848131427519919722279435192456905586079848848282932872879326777659103577048924222173484721714517291122421188694526773037438496620222699691508272069098858863043422929430539892152746657076710631731,Homo sapiens,NELFA,not sure,HeLa,Epithelium,Cervix,1,NELFA
75942|KDM1A,0.0000000000000000000000000000000000024814232128668624399901617929242377201877660328406315470932320379523735404517133382974300070452361816644144594194808654117123567806812970174423871674756081578101995770445105374365297983204238936129455,Homo sapiens,KDM1A,cr,PC-3M-luc,None,Prostate,1,KDM1A
46232|JUND,0.0000000000000000000000000000000000025340177079081292958913461771336209089870366890362944032398424276542478471292568175141156192544876439627909096592490991336738740933677322002164164652346008802076521184866512334549961187611479064285845,Homo sapiens,JUND,tf,HepG2,Epithelium,Liver,1,JUND
68976|ESR1,0.0000000000000000000000000000000000032367797828676148243484252767101044179869977077094507040246370628081470385321574288665258798614361699472990053723389448077536126935134072118968694962803063705504396241273987026396181748999579785381132,Homo sapiens,ESR1,tf,T47D,None,Breast,1,ESR1
9216|POLR2B,0.0000000000000000000000000000000000087587195029726265806225495611650675265239465410110091327009868251665067083829925848746067575268808228825886598808147256747637283513012566769428821309597771397533996652988169645074114777978246409823865,Homo sapiens,POLR2B,tf,HeLa,Epithelium,Cervix,1,POLR2B
53346|CDK9,0.000000000000000000000000000000000011566499875697512359921246919142823806176380023018727307624604000138145152727382898886025739759416018183041364268511818529738686158763315263458758332999313788358209968986846383816039667083872311732231,Homo sapiens,CDK9,tf,HeLa,Epithelium,Cervix,1,CDK9
41492|BMI1,0.000000000000000000000000000000000013207803533486893220502931703921991234132356161112808412078552425195406315430626508180248173255590229737609886532150336616756504083299677600293187506344165870805840361888534728014297972148918779296056,Homo sapiens,BMI1,cr,DU145,Epithelium,Prostate,1,BMI1
74571|MAZ,0.000000000000000000000000000000000013818537960264515705061563432094720079998744411561636318052782109231203264083872413942476406995719059930195102864003471591088875727408381911467553099087029535787157885068932379409323839444996353183596,Homo sapiens,MAZ,tf,T778,None,None,1,MAZ
55563|MEF2B,0.000000000000000000000000000000000015851817986709132016517397702253872428600524237698060688140027897319440535466624882719400062667616811671306140418466541350021469894499621077005279938534309360054818665105180784871915254250301474707914,Homo sapiens,MEF2B,tf,None,B Lymphocyte,None,1,MEF2B
46320|TAF1,0.000000000000000000000000000000000038389962698776225524446109417851184187940030793077839765803616987820062290665390852307871771963756548595389551623687672038161306210816747688083328138476592933705730042179677556652322340045494679844051,Homo sapiens,TAF1,tf,MCF-7,Epithelium,Breast,1,TAF1
64581|CBX1,0.000000000000000000000000000000000052637034810713656260228946833121333584478681849996090962920707475579300536206313204011748576757684926922655381612193945239494225640128776342898543592999402357881727052087139721483318709172428321940825,Homo sapiens,CBX1,cr,HepG2,Epithelium,Liver,1,CBX1
64038|HBP1,0.000000000000000000000000000000000076192388051788941556341014149780272073327475265890523203340589293831384211344518690964833572919378482118230667365907966662607418370874461665370687933086412369740648864025332990851029737530041734049812,Homo sapiens,HBP1,tf,HepG2,Epithelium,Liver,1,HBP1
41489|RING1,0.00000000000000000000000000000000013925681519161702838437713511462535205504312305800730202179575047001347068306734944843225765662996636197117567188405287788311641069904231834469571549748950426903055847005238787568943270365648434301917,Homo sapiens,RING1,cr,DU145,Epithelium,Prostate,1,RING1
55665|PAF1,0.00000000000000000000000000000000014672566381107081783301335532870827458440728120175386365798925554109577493521396695370070087366601919489771430512537707360763717291820847088041552762914981886928539556614706756882339511853987718945042,Homo sapiens,PAF1,not sure,HCT-116,None,Colon,1,PAF1
36349|PTPN11,0.0000000000000000000000000000000001594734924450427204507421557205719610113116564308217138174012524055184487278772889850680069753558240483450457254985680396683565264714065003579906887378038381910607195573138088275925493359466843245671,Homo sapiens,PTPN11,other,A549,Epithelium,Lung,1,PTPN11
55895|T,0.00000000000000000000000000000000033066885310071091194172440308696450721850505381443417354918355631755329516676958838928684800233298409579784944941417897843042002416403056998822200679012501455771163393196856125960687637002549059829773,Homo sapiens,T,tf,None,Fibroblast,None,1,T
51103|CHD8,0.00000000000000000000000000000000042966003070106160804349325414956409984632646477675134917368827377638950624522764384075593665715638587561830367682238307471664670869313359342405708827646356968650157628781703330104118710945989905231705,Homo sapiens,CHD8,cr,None,Neural Stem Cell,None,1,CHD8
46306|THAP1,0.00000000000000000000000000000000048862204486450440632030932136293945514000838258897141484249129800503094482121310620221823181777165175461016429420778391179712559229733579348304769404171670470439699769154366230532052044455616039745004,Homo sapiens,THAP1,tf,K562,Erythroblast,Bone Marrow,1,THAP1
70228|DNMT3A,0.00000000000000000000000000000000058194512214816897317216272053149191547496415794115536127509298422360012024374668964298055198216855335972263823002917326861568511697683784326695165973964586325534456668724467118815682243045716769680645,Homo sapiens,DNMT3A,cr,None,Stem cell,Foreskin,1,DNMT3A
46307|PML,0.00000000000000000000000000000000070485748411834808404800133652288655845457631960600349934192364716023396390539139216930641795138364577911803871209672313057660328969132064446712506965300886912055407199877226557208983392023779844146894,Homo sapiens,PML,tf,MCF-7,Epithelium,Breast,1,PML
77298|TRIM25,0.0000000000000000000000000000000009507121634645280819694068380626103564478119352268490861415117294302206680932122196864651419412297666717820815845829762543348876312545174628564538234236930997036034856176348578513162422765423897489279,Homo sapiens,TRIM25,,None,None,Breast,1,TRIM25
54609|YAP1,0.0000000000000000000000000000000011426329031694626749732138953384523889486002898604119651714085699183893198412245915730363197422886464100555045272184803376036461578597311366662317998787651349470884042798799178141027288117224743647354,Homo sapiens,YAP1,other,SF268,None,None,1,YAP1
63097|SMAD5,0.000000000000000000000000000000001335520539812044852811159649392125968615023452716250949199566537704950963941079912800685657892655686287293089056576120571672587728149048653772276701230562823990524018919953938253395997983541130299618,Homo sapiens,SMAD5,tf,GM12878,B Lymphocyte,Blood,1,SMAD5
63664|BCL3,0.0000000000000000000000000000000014939193633157692269609910153594758089246275512123817899640052598905096492698403963471285591541916266208856276718958551512364547590476448339764652754146990985539841216020898807452813829025037672406417,Homo sapiens,BCL3,tf,A549,Epithelium,Lung,1,BCL3
64797|CREM,0.0000000000000000000000000000000016833904379788594561774032585314891792195675015211400614160939209722451086142240840677047268187274922018964117107495801395762296772094682208644018418589123853185232756816457310225515058829708943895645,Homo sapiens,CREM,tf,HepG2,Epithelium,Liver,1,CREM
49238|ETS1,0.000000000000000000000000000000002760102289058589058083590270713054903558066604672168818546743945489324854612253140044297045156249247446850204125747620140933015626315032063423678424209150675967148153257578438621645483450531337914239,Homo sapiens,ETS1,tf,DU145,Epithelium,Prostate,1,ETS1
72408|PARP1,0.0000000000000000000000000000000050333457823416894134424933722485591273982726296332652287838283500358379645603664194149569270714103947391152055174902309679645909689482010416192148507071258087533001929912942889210512599365367309292711,Homo sapiens,PARP1,not sure,MCF-7,Human Breast Cancer Cell,Breast,1,PARP1
67518|GATA3,0.0000000000000000000000000000000063097572676325551094696773205115066846891184914641842146778333854085462739704555350401483764217627983507227167184944913183531650366301465291317843796841714226805203420389691406251666134369023973554333,Homo sapiens,GATA3,tf,MDA-MB-231,Epithelium,Mammary Gland,1,GATA3
38742|NFATC1,0.0000000000000000000000000000000073392619535254932433766834048342314164595536254666353889821389300741214211836368175458009036778941316989736361694153467992375344381757611010849844638500010467393845078166988383434435935287707393855951,Homo sapiens,NFATC1,tf,None,Endothelial Cell,Umbilical Vein,1,NFATC1
42637|CREBBP,0.0000000000000000000000000000000075214233095920125828772122476779060443209251387726170916759484227119068405164187902528762727255427533348068744254181930047225347058249795880481032553630363921822906457934161556762659784094588018326021,Homo sapiens,CREBBP,cr,HEK293,Epithelium,Embryonic Kidney,1,CREBBP
45802|CHD2,0.0000000000000000000000000000000087156176484252444159739069196801745833780971472321580643148346769797386238278116072221628363019851601447444660936395856498244410333341800392337589644820537996132877660219192363060028167033812412640823,Homo sapiens,CHD2,cr,HepG2,Epithelium,Liver,1,CHD2
76857|ZMYND8,0.000000000000000000000000000000014353070261217512793183389701140437449256545443623911248094634235430450819671246488762922919556567431816595635831801541424645237838621307601593685311949832236415400934980034191842766391828934433169478,Homo sapiens,ZMYND8,cr,HEK293,None,Kidney,1,ZMYND8
56267|AR,0.000000000000000000000000000000015857071371556089340188853266225545131227530467801247974056676973323861569086845897251496810883790095761907524275595969235876130206678802588815935831485306092619403845258740837885023256324266686853699,Homo sapiens,AR,tf,CWR22Pc,Epithelium,Prostate,1,AR
50373|EZH1,0.000000000000000000000000000000019751153952076763577699158580756753374357168390790241592205687853914512479894994465503993183833061592369890975889892975104792275563008718680145172612582590071230827620343419515813574974958287710835545,Homo sapiens,EZH1,cr,None,Proerythroblast,Fetal Liver,1,EZH1
50372|SUZ12,0.000000000000000000000000000000057141225393748945733066777395786913888106298461818555565372510410633418665157135737363317144093211701037185364533690862817878811035391702039628252304656156036164090925665097005264344842652413130882579,Homo sapiens,SUZ12,cr,None,Proerythroblast,Fetal Liver,1,SUZ12
45752|E2F4,0.000000000000000000000000000000084081291409808052392179983984359483687939001115986535594811223009974904967421287420240340580086858934427179955814508962815173559369286829564738296990152352062556108235685121174112847564186600120941991,Homo sapiens,E2F4,tf,HeLa-S3,Epithelium,Cervix,1,E2F4
77534|TFDP1,0.00000000000000000000000000000012199697566356535538912095508484342432049612426494250997756405805899562583365565522292168942140068174098522535366025860156979114173847838478580277512476981462950962929259880958097410608883264665881163,Homo sapiens,TFDP1,tf,U266B1,None,None,1,TFDP1
356|CDX2,0.00000000000000000000000000000014035678599388604716282066348518103508937224038404311126966525190476148307714172474292469576607697552473047970610811371911514882034952658708083468777803950351917013901184926355557507252848736241482083,Homo sapiens,CDX2,tf,Caco-2,Epithelium,Colon,1,CDX2
76859|IRAK1,0.00000000000000000000000000000014861819826338686507035977262562414896093829169477342899367154746195950408553105384261585245131973253147492507159261797870789321684648617809954898837108915519749969647231423388860585167929267189516078,Homo sapiens,IRAK1,other,HEK293,Epithelium,Embryonic Kidney,1,IRAK1
76519|SETD1A,0.00000000000000000000000000000015506817304216739150143179029952356534145712928005858704197736385056722852511264515541090846351575823443738261582820572130970926425797929976025953182360465671946851489096183101878966076105491823112835,Homo sapiens,SETD1A,predicted chromatin regulator,None,Erythroid Cell,None,1,SETD1A
39460|FOXM1,0.00000000000000000000000000000016428432263330274062848180290574682765575141100492140683900215878694009130327819958421838015804393292767141932798920022908364352999085501387798697191396477737880658426182779231200271926071334745685992,Homo sapiens,FOXM1,tf,MDA-MB-231,Epithelium,Breast,1,FOXM1
8564|TBL1X,0.00000000000000000000000000000024208552324764828962509309997078962871559195323418077125681927586240700143023571763109384518064373455632858059795532727747806368674393590098314389685253694050668541280796316653193880226293316774522836,Homo sapiens,TBL1X,cr,HEK293T,Epithelium,Embryonic Kidney,1,TBL1X
69620|PSMA7,0.00000000000000000000000000000047963516115526601596313389945466008683445697721159979772798789075875518933773396313086353883356638844724296359354313723337245952100054747046658635281193966183089733363732994505270618501495921923681838,Homo sapiens,PSMA7,other,None,Hematopoietic stem and progenitor cell,None,1,PSMA7
64317|ETV4,0.00000000000000000000000000000048296226612078385842262391633806633566665679492130668850709756943706186147410032567524929134461294981767850853436733058667433548758183169471282517851383560212946213018428667098564128323534439959152337,Homo sapiens,ETV4,tf,HepG2,Epithelium,Liver,1,ETV4
